epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,1113.37,1.41825,0.93671,0.88267,0.49656,0.36436,0.35798,0.20495,1.3649,0.95336,0.8839,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,1147.33,1.41347,0.93756,0.88394,0.47265,0.37037,0.35245,0.20104,1.37005,0.95664,0.88473,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,1181.46,1.41022,0.93588,0.88148,0.48687,0.36351,0.35147,0.20055,1.36198,0.95663,0.88068,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,1215.07,1.40497,0.92659,0.88031,0.49083,0.37698,0.36074,0.20564,1.35813,0.94989,0.88071,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,1249.27,1.39635,0.91831,0.88145,0.49437,0.3737,0.35914,0.20527,1.36047,0.95532,0.88233,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,1282.92,1.39429,0.91685,0.87962,0.4947,0.36602,0.35585,0.20394,1.3584,0.95109,0.88108,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,1316.78,1.39937,0.9176,0.87904,0.50182,0.36515,0.35948,0.20467,1.35733,0.9457,0.88048,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,1350.33,1.39126,0.90601,0.87696,0.5005,0.37104,0.36314,0.20728,1.35153,0.94819,0.88001,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,1384.37,1.38752,0.90795,0.87758,0.49368,0.37373,0.36134,0.20743,1.34996,0.95006,0.88024,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,1418.1,1.37808,0.89894,0.87702,0.49942,0.37372,0.36198,0.20697,1.35081,0.94414,0.87945,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,1451.9,1.3791,0.89827,0.87738,0.50107,0.37972,0.36746,0.21057,1.3516,0.94274,0.88012,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,1485.78,1.38633,0.90119,0.8753,0.51082,0.36689,0.36058,0.20648,1.35068,0.9443,0.88132,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,1520.36,1.37707,0.89179,0.87462,0.49681,0.38552,0.36879,0.21132,1.346,0.93669,0.87753,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,1555.11,1.36924,0.88489,0.87361,0.50678,0.37531,0.36577,0.2092,1.34918,0.9403,0.87764,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,1589.54,1.37503,0.88426,0.87481,0.49742,0.3822,0.36362,0.20946,1.34305,0.93829,0.87759,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,1623.41,1.36752,0.88167,0.87409,0.49453,0.37818,0.3636,0.20989,1.34136,0.93853,0.87709,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,1657.37,1.3698,0.88137,0.87342,0.49094,0.3811,0.36486,0.20932,1.3418,0.93537,0.87678,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,1691.25,1.36275,0.87508,0.87132,0.50653,0.38406,0.36971,0.21252,1.34077,0.93269,0.87684,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,1725.54,1.35667,0.87334,0.87276,0.50935,0.38812,0.37123,0.21501,1.3387,0.92754,0.87583,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,1759.94,1.35746,0.87018,0.87093,0.51226,0.37707,0.36971,0.2121,1.33939,0.93074,0.87692,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,1793.74,1.35189,0.86314,0.87097,0.49835,0.39211,0.37533,0.21468,1.33901,0.92563,0.87716,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,1827.96,1.3552,0.86674,0.87129,0.50902,0.37761,0.37011,0.21292,1.3372,0.92543,0.8762,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,1861.9,1.35037,0.86129,0.86886,0.50451,0.38079,0.36866,0.21238,1.33749,0.92791,0.87643,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,1895.94,1.34043,0.8536,0.8704,0.5126,0.38122,0.37089,0.21256,1.3373,0.92939,0.87614,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,1930.48,1.34817,0.85229,0.86803,0.49932,0.38328,0.37186,0.21315,1.33359,0.92688,0.87507,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,1964.16,1.34105,0.85073,0.86737,0.49748,0.38201,0.3688,0.21244,1.33329,0.92572,0.87419,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,1997.92,1.3324,0.84353,0.86763,0.49852,0.38763,0.37061,0.21378,1.33419,0.92356,0.87583,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,2031.43,1.33813,0.84272,0.86727,0.51271,0.3798,0.37123,0.21279,1.33753,0.92677,0.87701,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,2065.24,1.33803,0.8459,0.86669,0.51748,0.37984,0.3729,0.21417,1.32892,0.92284,0.8747,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,2098.93,1.32875,0.83605,0.86642,0.5013,0.38602,0.37323,0.21551,1.32756,0.91869,0.87375,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,2132.76,1.33153,0.83702,0.86544,0.50847,0.38363,0.37042,0.21226,1.32974,0.91908,0.87462,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,2166.35,1.3241,0.83151,0.86559,0.50856,0.38797,0.3715,0.2124,1.33012,0.92073,0.87427,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,2200.26,1.32576,0.82979,0.86582,0.49251,0.39405,0.37265,0.21465,1.33291,0.91833,0.87587,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,2234.53,1.32385,0.82443,0.86421,0.50369,0.38639,0.37143,0.21446,1.32938,0.91954,0.87483,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,2268.59,1.3208,0.82441,0.86514,0.50453,0.38859,0.37479,0.21462,1.33166,0.91889,0.87661,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,2302.86,1.32456,0.82262,0.8636,0.50888,0.38785,0.37365,0.21466,1.329,0.92041,0.8742,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,2337.29,1.3211,0.81757,0.86243,0.52013,0.38185,0.37499,0.21519,1.33168,0.91911,0.87495,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,2371.18,1.3063,0.81079,0.86261,0.50446,0.38306,0.37119,0.2131,1.33031,0.92139,0.87501,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,2404.92,1.30949,0.80939,0.86322,0.5131,0.38532,0.37436,0.21519,1.32628,0.91892,0.87415,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,2438.47,1.30945,0.80903,0.8616,0.50569,0.38852,0.37363,0.21425,1.32619,0.91796,0.87415,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,2472.52,1.31267,0.80981,0.86161,0.50646,0.38571,0.37191,0.21317,1.32881,0.92049,0.87448,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,2506.74,1.30589,0.8022,0.86165,0.5182,0.38849,0.37458,0.21508,1.32886,0.91912,0.87402,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,2540.99,1.31828,0.80954,0.85986,0.51398,0.38927,0.3736,0.21411,1.32721,0.92169,0.87381,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,2574.96,1.29141,0.79352,0.85985,0.51425,0.38787,0.37263,0.21529,1.32774,0.92134,0.87403,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,2609.3,1.29091,0.79002,0.8611,0.52435,0.38437,0.37496,0.21578,1.32907,0.91901,0.87432,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,2643.25,1.29708,0.79326,0.85882,0.52173,0.38543,0.3762,0.21541,1.32759,0.91803,0.87392,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,2677.21,1.2966,0.79291,0.85839,0.5099,0.39237,0.37688,0.21713,1.32602,0.91366,0.87367,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,2711.22,1.28603,0.78465,0.85875,0.51157,0.39164,0.37609,0.21624,1.32745,0.9155,0.87395,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,2745.29,1.29147,0.78778,0.85832,0.52044,0.38326,0.37494,0.21448,1.32684,0.91713,0.87388,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,2779.27,1.28807,0.78024,0.8586,0.50024,0.39162,0.37369,0.21376,1.32885,0.91805,0.87409,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,2813.25,1.28932,0.77993,0.85705,0.51465,0.39017,0.37476,0.2144,1.3288,0.91868,0.87396,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,2847.05,1.27957,0.77495,0.85658,0.52441,0.38388,0.37548,0.21581,1.32893,0.91687,0.87517,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,2880.99,1.28001,0.77357,0.85643,0.52853,0.37983,0.37411,0.21555,1.32614,0.91749,0.87431,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,2915.25,1.28027,0.77313,0.85577,0.51836,0.38429,0.37202,0.21344,1.33014,0.92066,0.87459,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,2948.87,1.27817,0.77089,0.85617,0.51761,0.38668,0.3737,0.2149,1.32965,0.91957,0.87471,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,2982.7,1.27341,0.76532,0.85414,0.52392,0.38431,0.37432,0.21393,1.32997,0.91967,0.87481,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,3016.61,1.26747,0.75917,0.85389,0.52464,0.38687,0.37474,0.21476,1.32691,0.91982,0.87398,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,3050.59,1.27219,0.76155,0.85394,0.51528,0.38902,0.37514,0.21452,1.32751,0.91857,0.87392,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,3084.52,1.2703,0.76163,0.85468,0.50972,0.39321,0.37546,0.21517,1.32744,0.91765,0.87441,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,3117.59,1.23215,0.73524,0.85843,0.50556,0.39542,0.37306,0.21312,1.33062,0.92142,0.87488,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,3149.86,1.22232,0.72121,0.85496,0.52262,0.38832,0.37311,0.21284,1.33249,0.92182,0.87589,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,3181.76,1.2187,0.71816,0.8542,0.52236,0.38551,0.37248,0.2127,1.33399,0.92193,0.87618,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
